 #E(MeVfm-3) P(MeVfm-3) Rho/Rho0
   0.280713E-06   0.442670E-11   0.188564E-08
   0.291261E-06   0.470001E-11   0.195649E-08
   0.302218E-06   0.499019E-11   0.203008E-08
   0.313599E-06   0.529829E-11   0.210653E-08
   0.325422E-06   0.562541E-11   0.218596E-08
   0.337706E-06   0.597273E-11   0.226846E-08
   0.350467E-06   0.634150E-11   0.235419E-08
   0.363727E-06   0.673303E-11   0.244325E-08
   0.377504E-06   0.714871E-11   0.253579E-08
   0.391820E-06   0.759011E-11   0.263196E-08
   0.406697E-06   0.805873E-11   0.273189E-08
   0.422157E-06   0.855630E-11   0.283574E-08
   0.438225E-06   0.908458E-11   0.294366E-08
   0.454925E-06   0.964544E-11   0.305584E-08
   0.472283E-06   0.102409E-10   0.317243E-08
   0.490325E-06   0.108733E-10   0.329363E-08
   0.509080E-06   0.115446E-10   0.341961E-08
   0.528578E-06   0.122573E-10   0.355058E-08
   0.548848E-06   0.130141E-10   0.368673E-08
   0.569923E-06   0.138176E-10   0.382829E-08
   0.591834E-06   0.146708E-10   0.397548E-08
   0.614620E-06   0.155766E-10   0.412853E-08
   0.638315E-06   0.165383E-10   0.428768E-08
   0.662952E-06   0.175594E-10   0.445319E-08
   0.688583E-06   0.186435E-10   0.462531E-08
   0.715234E-06   0.197946E-10   0.480434E-08
   0.742956E-06   0.210167E-10   0.499054E-08
   0.771790E-06   0.223143E-10   0.518423E-08
   0.801784E-06   0.236920E-10   0.538571E-08
   0.832990E-06   0.251548E-10   0.559532E-08
   0.865459E-06   0.267079E-10   0.581339E-08
   0.899234E-06   0.283569E-10   0.604027E-08
   0.934384E-06   0.301077E-10   0.627638E-08
   0.970953E-06   0.319665E-10   0.652200E-08
   0.100901E-05   0.339401E-10   0.677763E-08
   0.104862E-05   0.360357E-10   0.704369E-08
   0.108984E-05   0.382606E-10   0.732056E-08
   0.113275E-05   0.406228E-10   0.760875E-08
   0.117741E-05   0.431309E-10   0.790875E-08
   0.122390E-05   0.457939E-10   0.822100E-08
   0.127229E-05   0.486212E-10   0.854606E-08
   0.132268E-05   0.516232E-10   0.888450E-08
   0.137514E-05   0.548104E-10   0.923681E-08
   0.142976E-05   0.581945E-10   0.960375E-08
   0.148664E-05   0.617875E-10   0.998575E-08
   0.154587E-05   0.656026E-10   0.103836E-07
   0.160755E-05   0.696528E-10   0.107979E-07
   0.167180E-05   0.739532E-10   0.112294E-07
   0.173871E-05   0.785188E-10   0.116788E-07
   0.180841E-05   0.833672E-10   0.121469E-07
   0.188101E-05   0.885140E-10   0.126346E-07
   0.195664E-05   0.939790E-10   0.131426E-07
   0.203544E-05   0.997818E-10   0.136719E-07
   0.211754E-05   0.105942E-09   0.142233E-07
   0.220308E-05   0.112483E-09   0.147978E-07
   0.229221E-05   0.119428E-09   0.153965E-07
   0.238510E-05   0.126801E-09   0.160203E-07
   0.248190E-05   0.134631E-09   0.166705E-07
   0.258278E-05   0.142942E-09   0.173481E-07
   0.268793E-05   0.151768E-09   0.180543E-07
   0.279753E-05   0.161138E-09   0.187904E-07
   0.291177E-05   0.171087E-09   0.195578E-07
   0.303087E-05   0.181650E-09   0.203576E-07
   0.315503E-05   0.192866E-09   0.211916E-07
   0.328448E-05   0.204773E-09   0.220609E-07
   0.341945E-05   0.217417E-09   0.229674E-07
   0.356018E-05   0.230840E-09   0.239126E-07
