# E(MeVfm-3)    P(MeVfm-3)    rho/rho0      rho              xp            xn             xe             xmu
   1372.58       508.207       6.92929       1.10869      0.157029      0.842971      0.874867E-01  0.695426E-01
   1398.58       524.663       7.02525       1.12404      0.157842      0.842158      0.878269E-01  0.700156E-01
   1424.79       541.381       7.12121       1.13939      0.158644      0.841356      0.881626E-01  0.704815E-01
   1451.23       558.362       7.21717       1.15475      0.159435      0.840565      0.884941E-01  0.709407E-01
   1477.89       575.606       7.31313       1.17010      0.160214      0.839786      0.888213E-01  0.713932E-01
   1504.77       593.111       7.40909       1.18545      0.160984      0.839016      0.891443E-01  0.718392E-01
   1531.87       610.878       7.50505       1.20081      0.161742      0.838258      0.894634E-01  0.722789E-01
   1559.19       628.907       7.60101       1.21616      0.162491      0.837509      0.897785E-01  0.727125E-01
   1586.74       647.198       7.69697       1.23152      0.163230      0.836770      0.900898E-01  0.731402E-01
   1614.51       665.749       7.79293       1.24687      0.163959      0.836041      0.903973E-01  0.735620E-01
   1642.50       684.561       7.88889       1.26222      0.164679      0.835321      0.907012E-01  0.739781E-01
   1670.72       703.660       7.98485       1.27758      0.165389      0.834611      0.910022E-01  0.743872E-01
   1699.16       722.969       8.08081       1.29293      0.166091      0.833909      0.912991E-01  0.747922E-01
   1727.83       742.561       8.17677       1.30828      0.166785      0.833215      0.915925E-01  0.751920E-01
   1756.72       762.414       8.27273       1.32364      0.167469      0.832531      0.918827E-01  0.755867E-01
   1785.84       782.526       8.36869       1.33899      0.168146      0.831854      0.921695E-01  0.759763E-01
   1815.18       802.897       8.46465       1.35434      0.168814      0.831186      0.924532E-01  0.763610E-01
   1844.75       823.527       8.56061       1.36970      0.169475      0.830525      0.927337E-01  0.767409E-01
   1874.54       844.416       8.65657       1.38505      0.170127      0.829873      0.930112E-01  0.771161E-01
   1904.56       865.564       8.75253       1.40040      0.170772      0.829228      0.932857E-01  0.774868E-01
   1934.81       886.969       8.84848       1.41576      0.171410      0.828590      0.935572E-01  0.778529E-01
   1965.29       908.633       8.94444       1.43111      0.172041      0.827959      0.938259E-01  0.782147E-01
   1995.99       930.554       9.04040       1.44646      0.172664      0.827336      0.940917E-01  0.785722E-01
   2026.92       952.732       9.13636       1.46182      0.173280      0.826720      0.943548E-01  0.789256E-01
   2058.08       975.168       9.23232       1.47717      0.173890      0.826110      0.946152E-01  0.792748E-01
   2089.46       997.821       9.32828       1.49253      0.174494      0.825506      0.948721E-01  0.796217E-01
   2121.08       1020.81       9.42424       1.50788      0.175090      0.824910      0.951272E-01  0.799631E-01
   2152.92       1044.01       9.52020       1.52323      0.175680      0.824320      0.953797E-01  0.803007E-01
   2184.99       1067.48       9.61616       1.53859      0.176264      0.823736      0.956297E-01  0.806345E-01
   2217.30       1091.19       9.71212       1.55394      0.176842      0.823158      0.958773E-01  0.809647E-01
   2249.83       1115.17       9.80808       1.56929      0.177414      0.822586      0.961224E-01  0.812913E-01
   2282.59       1139.40       9.90404       1.58465      0.177979      0.822021      0.963652E-01  0.816143E-01
   2315.57       1163.88       10.0000       1.60000      0.178539      0.821461      0.966056E-01  0.819339E-01
